"pop","gen","wing"
"Utchee Creek","G2",3.77711510696692
"Utchee Creek","G2",3.75288150572057
"Utchee Creek","G2",3.84128999231674
"Utchee Creek","G2",3.86950447742036
"Utchee Creek","G11",3.88786575329132
"Utchee Creek","G11",3.60147350554295
"Utchee Creek","G11",3.73394919162027
"Utchee Creek","G11",3.88053195055739
"Utchee Creek","G11",3.41052845440311
"Utchee Creek","G11",3.88132866442485
"Utchee Creek","G11",3.74466481600962
"Utchee Creek","G11",3.83016626426638
"Utchee Creek","G11",3.98970669934269
"Utchee Creek","G11",3.7463324916568
"Utchee Creek","G11",3.68663206246055
"Utchee Creek","G11",3.82475122070137
"Utchee Creek","G11",3.77730660906418
"Utchee Creek","G11",3.96439212470157
"Utchee Creek","G11",3.73862173649982
"Utchee Creek","G11",3.83700803266558
"Utchee Creek","G11",3.84057832974195
"Utchee Creek","G11",3.65835692443993
"Utchee Creek","G11",3.81725970651798
"Utchee Creek","G11",3.79047268654204
"Utchee Creek","G11",3.74419923040041
"Utchee Creek","G11",3.86639453152397
"Utchee Creek","G11",3.76176044153165
"Utchee Creek","G11",3.89139251604343
"Utchee Creek","G11",3.69383117803722
